Distance,Speed,Lateral G,Longitudinal G
2205,151.499999,-0.21720812,-1.139097744
2209,146.399999,-0.28667588,-1.095238095
2214,143.949999,-0.35296731,-1.043859649
2217,141.749999,-0.43802047,-0.958646616
2221,138.749999,-0.54246074,-0.837092731
2225,136.049999,-0.65440571,-0.789473684
2229,134.399999,-0.78636318,-0.817042606
2233,130.599999,-0.90143510,-0.785714285
2236,128.099999,-1.00024686,-0.741854636
2240,125.349999,-1.07091603,-0.721804511
2243,123.299999,-1.08780158,-0.680451127
2247,121.299999,-1.09593166,-0.586466165
2250,118.799999,-1.10656331,-0.489974937
2253,116.699999,-1.12344886,-0.479949874
2256,115.199999,-1.18348638,-0.538847117
2260,112.799999,-1.25915868,-0.548872180
2263,110.999999,-1.30356143,-0.530075188
2266,108.899999,-1.30981534,-0.500000000
2269,107.099999,-1.31732003,-0.432330827
2272,105.149999,-1.32294855,-0.330827067
2274,104.399999,-1.36359896,-0.288220551
2277,102.899999,-1.42989039,-0.256892230
2280,100.499999,-1.49055330,-0.240601503
2283,99.699999,-1.51494354,-0.196741854
2286,99.049999,-1.63126625,-0.124060150
2288,97.599999,-1.71506862,-0.091478696
2291,97.199999,-1.73570652,-0.106516290
2294,96.299999,-1.78886475,-0.086466165
2296,94.499999,-1.71757019,-0.021303258
2299,94.099999,-1.68880221,-0.032581453
2302,92.699999,-1.66628814,-0.005012531
2304,92.299999,-1.60812679,-0.060150376
2307,91.449999,-1.49430565,-0.192982456
2309,89.699999,-1.17973404,-0.295739348
2312,87.799999,-0.73957407,-0.491228070
2314,85.899999,-0.20205062,-0.775689223
2317,82.999999,0.32915309,-0.932330827
2319,81.399999,0.71887034,-0.862155388
2321,80.899999,0.91142490,-0.672932330
2323,79.099999,1.07573812,-0.498746867
2325,77.499999,1.18998716,-0.501253132
2328,77.199999,1.22143774,-0.567669172
2330,76.699999,1.34338896,-0.476190476
2332,75.099999,1.41720154,-0.416040100
2334,74.499999,1.34595635,-0.459899749
2336,74.499999,1.42297817,-0.402255639
2338,71.799999,1.48908857,-0.378446115
2340,70.399999,1.38254172,-0.438596491
2342,70.999999,1.42490372,-0.335839598
